,,1,1,1,1,,,,2,2,2,,,,3,3,,,,4,,,,6,6,,,,7,7,7,,,,8,,,,9,9,,,,10,10,,,,11,11,,,,12,12,,,,13,13,,,
,,25.02.2020,25.02.2020,25.02.2020,25.02.2020,,,,03.03.2020,03.03.2020,03.03.2020,,,,10.03.2020,10.03.2020,,,,17.03.2020,,,,31.03.2020,31.03.2021,,,,07.04.2020,07.04.2020,07.04.2020,,,,21.04.2020,,,,28.04.2020,28.04.2020,,,,05.05.2020,05.05.2020,,,,12.05.2020,12.05.2020,,,,19.05.2020,19.05.2020,,,,26.05.2020,26.05.2020,,,
,,A,B,C,D,,,,A,B,C,,,,A,B,,,,A,,,,A,B,,,,A,B,C,,,,A,,,,A,B,,,,A,B,,,,A,B,,,,A,B,,,,A,B,,,total:
9121442,,0,0,0,0,,,,0,0,0,,,,0,0,,,,0,,,,0,0,,,,0,0,0,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,0
6158717,,1,1,1,1,,,,1,1,1,,,,1,1,,,,1,,,,1,1,,,,1,1,1,,,,1,,,,1,1,,,,1,1,,,,1,1,,,,0,0,,,,0,0,,,22
1263226,,0,0,0,0,,,,0,0,0,,,,0,0,,,,0,,,,0,0,,,,0,0,0,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,0
6069152,,1,1,1,1,,,,1,1,1,,,,1,1,,,,1,,,,1,1,,,,1,1,1,,,,1,,,,0,0,,,,1,1,,,,1,1,,,,0,0,,,,0,0,,,20
7406683,,0,0,0,0,,,,0,0,0,,,,0,0,,,,0,,,,0,0,,,,0,0,0,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,0
9885275,,1,1,1,1,,,,1,1,0,,,,1,1,,,,1,,,,1,1,,,,0,0,0,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,11
4954180,,1,0,0,1,,,,0,0,0,,,,0,0,,,,1,,,,1,1,,,,0,0,0,,,,0,,,,1,1,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,7
9831555,,0,0,0,0,,,,0,0,0,,,,0,0,,,,0,,,,0,0,,,,0,0,0,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,0
8010517,,0,0,0,0,,,,0,0,0,,,,0,0,,,,0,,,,0,0,,,,0,0,0,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,0
5008972,,1,1,1,1,,,,1,1,0,,,,1,1,,,,1,,,,1,1,,,,1,1,1,,,,1,,,,1,1,,,,1,1,,,,1,1,,,,1,1,,,,0,0,,,23
8093010,,1,1,1,1,,,,1,1,1,,,,1,1,,,,1,,,,1,1,,,,1,1,0,,,,1,,,,1,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,16
5342816,,0,0,0,0,,,,0,0,0,,,,0,0,,,,0,,,,0,0,,,,0,0,0,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,0
9886025,,1,1,1,1,,,,1,1,1,,,,1,1,,,,1,,,,1,1,,,,1,1,0,,,,1,,,,0,1,,,,1,1,,,,1,1,,,,0,0,,,,0,0,,,20
3993424,,1,1,1,1,,,,1,1,1,,,,1,1,,,,1,,,,1,1,,,,1,1,1,,,,1,,,,1,1,,,,1,1,,,,1,1,,,,0,0,,,,0,0,,,22
4686041,,1,1,1,1,,,,1,1,1,,,,1,1,,,,1,,,,1,1,,,,1,1,1,,,,1,,,,1,1,,,,1,1,,,,1,1,,,,1,1,,,,1,1,,,26
8270032,,0,0,0,0,,,,0,0,0,,,,0,0,,,,0,,,,0,0,,,,0,0,0,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,0
2467028,,0,0,0,0,,,,0,0,0,,,,0,0,,,,0,,,,0,0,,,,0,0,0,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,0
6436980,,0,0,0,0,,,,0,0,0,,,,0,0,,,,0,,,,0,0,,,,0,0,0,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,0
1103896,,0,0,0,0,,,,0,0,0,,,,0,0,,,,0,,,,0,0,,,,0,0,0,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,0
2419488,,1,1,1,1,,,,1,1,0,,,,1,0,,,,1,,,,1,1,,,,0,0,0,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,10
5720517,,0,0,0,0,,,,0,0,0,,,,0,0,,,,0,,,,0,0,,,,0,0,0,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,0
